Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
04 00 22 5c,ZCore[0].Tone Partial[3].Sens 3
04 00 22 5d,ZCore[0].Tone Partial[3].Destination 4
04 00 22 5e,ZCore[0].Tone Partial[3].Sens 4
04 00 22 5f,ZCore[0].Tone Partial[3].Source
04 00 22 60,ZCore[0].Tone Partial[3].Destination 1
04 00 22 61,ZCore[0].Tone Partial[3].Sens 1
04 00 22 62,ZCore[0].Tone Partial[3].Destination 2
04 00 22 63,ZCore[0].Tone Partial[3].Sens 2
04 00 22 64,ZCore[0].Tone Partial[3].Destination 3
04 00 22 65,ZCore[0].Tone Partial[3].Sens 3
04 00 22 66,ZCore[0].Tone Partial[3].Destination 4
04 00 22 67,ZCore[0].Tone Partial[3].Sens 4
04 00 22 68,ZCore[0].Tone Partial[3].Source
04 00 22 69,ZCore[0].Tone Partial[3].Destination 1
04 00 22 6a,ZCore[0].Tone Partial[3].Sens 1
04 00 22 6b,ZCore[0].Tone Partial[3].Destination 2
04 00 22 6c,ZCore[0].Tone Partial[3].Sens 2
04 00 22 6d,ZCore[0].Tone Partial[3].Destination 3
04 00 22 6e,ZCore[0].Tone Partial[3].Sens 3
04 00 22 6f,ZCore[0].Tone Partial[3].Destination 4
04 00 22 70,ZCore[0].Tone Partial[3].Sens 4
04 00 22 71,ZCore[0].Tone Partial[3].Source
04 00 22 72,ZCore[0].Tone Partial[3].Destination 1
04 00 22 73,ZCore[0].Tone Partial[3].Sens 1
04 00 22 74,ZCore[0].Tone Partial[3].Destination 2
04 00 22 75,ZCore[0].Tone Partial[3].Sens 2
04 00 22 76,ZCore[0].Tone Partial[3].Destination 3
04 00 22 77,ZCore[0].Tone Partial[3].Sens 3
04 00 22 78,ZCore[0].Tone Partial[3].Destination 4
04 00 22 79,ZCore[0].Tone Partial[3].Sens 4
04 00 22 7a,ZCore[0].Tone Partial[3].Damper Free Note
04 00 22 7b,ZCore[0].Tone Partial[3].Stereo Width
04 00 22 7c,ZCore[0].Tone Partial[3].Stereo Detune
04 00 22 7d,ZCore[0].Tone Partial[3].Damper Free Decay Offset
04 00 22 7f,ZCore[0].Tone Partial[3].Wave Tempo Sync
04 00 23 00,ZCore[0].Tone Partial[4].Level
04 00 23 01,ZCore[0].Tone Partial[4].Coarse Tune
04 00 23 02,ZCore[0].Tone Partial[4].Fine Tune
04 00 23 03,ZCore[0].Tone Partial[4].Random Pitch Depth
04 00 23 07,ZCore[0].Tone Partial[4].Pan
04 00 23 08,ZCore[0].Tone Partial[4].Pan Keyfollow
04 00 23 0a,ZCore[0].Tone Partial[4].Random Pan Depth
04 00 23 0b,ZCore[0].Tone Partial[4].Alternate Pan Depth
04 00 23 0c,ZCore[0].Tone Partial[4].Envelope Mode
04 00 23 0d,ZCore[0].Tone Partial[4].Delay Mode
04 00 23 0e,ZCore[0].Tone Partial[4].DelayTime Sync
04 00 23 0f,ZCore[0].Tone Partial[4].DelayTime (note)
04 00 23 10,ZCore[0].Tone Partial[4].DelayTime
04 00 23 14,ZCore[0].Tone Partial[4].Chorus Send Level
04 00 23 15,ZCore[0].Tone Partial[4].Reverb Send Level
04 00 23 16,ZCore[0].Tone Partial[4].Receive Bender
04 00 23 17,ZCore[0].Tone Partial[4].Receive Expression
04 00 23 18,ZCore[0].Tone Partial[4].Receive Hold-1
04 00 23 19,ZCore[0].Tone Partial[4].Redamper Switch
04 00 23 1a,ZCore[0].Tone Partial[4].Output Assign
04 00 23 1b,ZCore[0].Tone Partial[4].Wave Group Type
04 00 23 1c,ZCore[0].Tone Partial[4].Wave Group ID
04 00 23 20,ZCore[0].Tone Partial[4].Wave Number L
04 00 23 24,ZCore[0].Tone Partial[4].Wave Number R
04 00 23 28,ZCore[0].Tone Partial[4].Gain
04 00 23 29,ZCore[0].Tone Partial[4].FXM Switch
04 00 23 2a,ZCore[0].Tone Partial[4].FXM Color
04 00 23 2b,ZCore[0].Tone Partial[4].FXM Depth
04 00 23 2c,ZCore[0].Tone Partial[4].Pitch Keyfollow
04 00 23 30,ZCore[0].Tone Partial[4].Soft EQ Sens
04 00 23 31,ZCore[0].Tone Partial[4].TVF Filter Type
04 00 23 32,ZCore[0].Tone Partial[4].TVF Cutoff Frequency
04 00 23 36,ZCore[0].Tone Partial[4].TVF Cutoff Keyfollow
04 00 23 3a,ZCore[0].Tone Partial[4].TVF Cutoff Velocity Curve
04 00 23 3b,ZCore[0].Tone Partial[4].TVF Cutoff Velocity Sens
04 00 23 3d,ZCore[0].Tone Partial[4].TVF Resonance
04 00 23 41,ZCore[0].Tone Partial[4].TVF Resonance Velocity Sens
04 00 23 43,ZCore[0].Tone Partial[4].Bias Level
04 00 23 45,ZCore[0].Tone Partial[4].Bias Position
04 00 23 46,ZCore[0].Tone Partial[4].Bias Direction
04 00 23 47,ZCore[0].Tone Partial[4].TVA Level Velocity Curve
04 00 23 48,ZCore[0].Tone Partial[4].TVA Level Velocity Sens
04 00 23 4a,ZCore[0].Tone Partial[4].Pitch Env Time Keyfollow
04 00 23 4c,ZCore[0].Tone Partial[4].TVF Env Time Keyfollow
04 00 23 4e,ZCore[0].Tone Partial[4].TVA Env Time Keyfollow
04 00 23 50,ZCore[0].Tone Partial[4].Vibrato Pitch Sens
04 00 23 52,ZCore[0].Tone Partial[4].Vibrato Cutoff Sens
04 00 23 54,ZCore[0].Tone Partial[4].Vibrato Level Sens
04 00 23 56,ZCore[0].Tone Partial[4].Source
04 00 23 57,ZCore[0].Tone Partial[4].Destination 1
04 00 23 58,ZCore[0].Tone Partial[4].Sens 1
04 00 23 59,ZCore[0].Tone Partial[4].Destination 2
04 00 23 5a,ZCore[0].Tone Partial[4].Sens 2
04 00 23 5b,ZCore[0].Tone Partial[4].Destination 3
04 00 23 5c,ZCore[0].Tone Partial[4].Sens 3
04 00 23 5d,ZCore[0].Tone Partial[4].Destination 4
04 00 23 5e,ZCore[0].Tone Partial[4].Sens 4
04 00 23 5f,ZCore[0].Tone Partial[4].Source
04 00 23 60,ZCore[0].Tone Partial[4].Destination 1
04 00 23 61,ZCore[0].Tone Partial[4].Sens 1
04 00 23 62,ZCore[0].Tone Partial[4].Destination 2
04 00 23 63,ZCore[0].Tone Partial[4].Sens 2
04 00 23 64,ZCore[0].Tone Partial[4].Destination 3
04 00 23 65,ZCore[0].Tone Partial[4].Sens 3
04 00 23 66,ZCore[0].Tone Partial[4].Destination 4
04 00 23 67,ZCore[0].Tone Partial[4].Sens 4
04 00 23 68,ZCore[0].Tone Partial[4].Source
04 00 23 69,ZCore[0].Tone Partial[4].Destination 1
04 00 23 6a,ZCore[0].Tone Partial[4].Sens 1
04 00 23 6b,ZCore[0].Tone Partial[4].Destination 2
04 00 23 6c,ZCore[0].Tone Partial[4].Sens 2
04 00 23 6d,ZCore[0].Tone Partial[4].Destination 3
04 00 23 6e,ZCore[0].Tone Partial[4].Sens 3
04 00 23 6f,ZCore[0].Tone Partial[4].Destination 4
04 00 23 70,ZCore[0].Tone Partial[4].Sens 4
04 00 23 71,ZCore[0].Tone Partial[4].Source
04 00 23 72,ZCore[0].Tone Partial[4].Destination 1
04 00 23 73,ZCore[0].Tone Partial[4].Sens 1
04 00 23 74,ZCore[0].Tone Partial[4].Destination 2
04 00 23 75,ZCore[0].Tone Partial[4].Sens 2
04 00 23 76,ZCore[0].Tone Partial[4].Destination 3
04 00 23 77,ZCore[0].Tone Partial[4].Sens 3
04 00 23 78,ZCore[0].Tone Partial[4].Destination 4
04 00 23 79,ZCore[0].Tone Partial[4].Sens 4
04 00 23 7a,ZCore[0].Tone Partial[4].Damper Free Note
04 00 23 7b,ZCore[0].Tone Partial[4].Stereo Width
04 00 23 7c,ZCore[0].Tone Partial[4].Stereo Detune
04 00 23 7d,ZCore[0].Tone Partial[4].Damper Free Decay Offset
04 00 23 7f,ZCore[0].Tone Partial[4].Wave Tempo Sync
04 00 24 00,ZCore[0].Partial Pitch Env[1].Pitch Env Depth
04 00 24 02,ZCore[0].Partial Pitch Env[1].Pitch Env Velocity Sens
04 00 24 04,ZCore[0].Partial Pitch Env[1].Pitch Env T1 Velocity Sens
04 00 24 06,ZCore[0].Partial Pitch Env[1].Pitch Env T4 Velocity Sens
04 00 24 08,ZCore[0].Partial Pitch Env[1].Pitch Env Time1
04 00 24 0c,ZCore[0].Partial Pitch Env[1].Pitch Env Time2
04 00 24 10,ZCore[0].Partial Pitch Env[1].Pitch Env Time3
04 00 24 14,ZCore[0].Partial Pitch Env[1].Pitch Env Time4
04 00 24 18,ZCore[0].Partial Pitch Env[1].Pitch Env Level0
04 00 24 1c,ZCore[0].Partial Pitch Env[1].Pitch Env Level1
04 00 24 20,ZCore[0].Partial Pitch Env[1].Pitch Env Level2
04 00 24 24,ZCore[0].Partial Pitch Env[1].Pitch Env Level3
04 00 24 28,ZCore[0].Partial Pitch Env[1].Pitch Env Level4
04 00 24 2c,ZCore[0].Partial Pitch Env[1].Pitch Env Velocity Curve
04 00 25 00,ZCore[0].Partial Pitch Env[2].Pitch Env Depth
04 00 25 02,ZCore[0].Partial Pitch Env[2].Pitch Env Velocity Sens
04 00 25 04,ZCore[0].Partial Pitch Env[2].Pitch Env T1 Velocity Sens
04 00 25 06,ZCore[0].Partial Pitch Env[2].Pitch Env T4 Velocity Sens
04 00 25 08,ZCore[0].Partial Pitch Env[2].Pitch Env Time1
04 00 25 0c,ZCore[0].Partial Pitch Env[2].Pitch Env Time2
04 00 25 10,ZCore[0].Partial Pitch Env[2].Pitch Env Time3
04 00 25 14,ZCore[0].Partial Pitch Env[2].Pitch Env Time4
04 00 25 18,ZCore[0].Partial Pitch Env[2].Pitch Env Level0
04 00 25 1c,ZCore[0].Partial Pitch Env[2].Pitch Env Level1
04 00 25 20,ZCore[0].Partial Pitch Env[2].Pitch Env Level2
04 00 25 24,ZCore[0].Partial Pitch Env[2].Pitch Env Level3
04 00 25 28,ZCore[0].Partial Pitch Env[2].Pitch Env Level4
04 00 25 2c,ZCore[0].Partial Pitch Env[2].Pitch Env Velocity Curve
04 00 26 00,ZCore[0].Partial Pitch Env[3].Pitch Env Depth
04 00 26 02,ZCore[0].Partial Pitch Env[3].Pitch Env Velocity Sens
04 00 26 04,ZCore[0].Partial Pitch Env[3].Pitch Env T1 Velocity Sens
04 00 26 06,ZCore[0].Partial Pitch Env[3].Pitch Env T4 Velocity Sens
04 00 26 08,ZCore[0].Partial Pitch Env[3].Pitch Env Time1
04 00 26 0c,ZCore[0].Partial Pitch Env[3].Pitch Env Time2
04 00 26 10,ZCore[0].Partial Pitch Env[3].Pitch Env Time3
04 00 26 14,ZCore[0].Partial Pitch Env[3].Pitch Env Time4
04 00 26 18,ZCore[0].Partial Pitch Env[3].Pitch Env Level0
04 00 26 1c,ZCore[0].Partial Pitch Env[3].Pitch Env Level1
04 00 26 20,ZCore[0].Partial Pitch Env[3].Pitch Env Level2
04 00 26 24,ZCore[0].Partial Pitch Env[3].Pitch Env Level3
04 00 26 28,ZCore[0].Partial Pitch Env[3].Pitch Env Level4
04 00 26 2c,ZCore[0].Partial Pitch Env[3].Pitch Env Velocity Curve
04 00 27 00,ZCore[0].Partial Pitch Env[4].Pitch Env Depth
04 00 27 02,ZCore[0].Partial Pitch Env[4].Pitch Env Velocity Sens
04 00 27 04,ZCore[0].Partial Pitch Env[4].Pitch Env T1 Velocity Sens
04 00 27 06,ZCore[0].Partial Pitch Env[4].Pitch Env T4 Velocity Sens
04 00 27 08,ZCore[0].Partial Pitch Env[4].Pitch Env Time1
04 00 27 0c,ZCore[0].Partial Pitch Env[4].Pitch Env Time2
04 00 27 10,ZCore[0].Partial Pitch Env[4].Pitch Env Time3
04 00 27 14,ZCore[0].Partial Pitch Env[4].Pitch Env Time4
04 00 27 18,ZCore[0].Partial Pitch Env[4].Pitch Env Level0
04 00 27 1c,ZCore[0].Partial Pitch Env[4].Pitch Env Level1
04 00 27 20,ZCore[0].Partial Pitch Env[4].Pitch Env Level2
04 00 27 24,ZCore[0].Partial Pitch Env[4].Pitch Env Level3
04 00 27 28,ZCore[0].Partial Pitch Env[4].Pitch Env Level4
04 00 27 2c,ZCore[0].Partial Pitch Env[4].Pitch Env Velocity Curve
04 00 28 00,ZCore[0].Partial Filter Env[1].TVF Env Depth
04 00 28 01,ZCore[0].Partial Filter Env[1].TVF Env Velocity Curve
04 00 28 02,ZCore[0].Partial Filter Env[1].TVF Env Velocity Sens
04 00 28 04,ZCore[0].Partial Filter Env[1].TVF Env T1 Velocity Sens
04 00 28 06,ZCore[0].Partial Filter Env[1].TVF Env T4 Velocity Sens
04 00 28 08,ZCore[0].Partial Filter Env[1].TVF Env Time1
04 00 28 0c,ZCore[0].Partial Filter Env[1].TVF Env Time2
04 00 28 10,ZCore[0].Partial Filter Env[1].TVF Env Time3
04 00 28 14,ZCore[0].Partial Filter Env[1].TVF Env Time4
04 00 28 18,ZCore[0].Partial Filter Env[1].TVF Env Level0
04 00 28 1c,ZCore[0].Partial Filter Env[1].TVF Env Level1
04 00 28 20,ZCore[0].Partial Filter Env[1].TVF Env Level2
04 00 28 24,ZCore[0].Partial Filter Env[1].TVF Env Level3
04 00 28 28,ZCore[0].Partial Filter Env[1].TVF Env Level4
04 00 29 00,ZCore[0].Partial Filter Env[2].TVF Env Depth
04 00 29 01,ZCore[0].Partial Filter Env[2].TVF Env Velocity Curve
04 00 29 02,ZCore[0].Partial Filter Env[2].TVF Env Velocity Sens
04 00 29 04,ZCore[0].Partial Filter Env[2].TVF Env T1 Velocity Sens
04 00 29 06,ZCore[0].Partial Filter Env[2].TVF Env T4 Velocity Sens
04 00 29 08,ZCore[0].Partial Filter Env[2].TVF Env Time1
04 00 29 0c,ZCore[0].Partial Filter Env[2].TVF Env Time2
04 00 29 10,ZCore[0].Partial Filter Env[2].TVF Env Time3
04 00 29 14,ZCore[0].Partial Filter Env[2].TVF Env Time4
04 00 29 18,ZCore[0].Partial Filter Env[2].TVF Env Level0
04 00 29 1c,ZCore[0].Partial Filter Env[2].TVF Env Level1
04 00 29 20,ZCore[0].Partial Filter Env[2].TVF Env Level2
04 00 29 24,ZCore[0].Partial Filter Env[2].TVF Env Level3
04 00 29 28,ZCore[0].Partial Filter Env[2].TVF Env Level4
04 00 2a 00,ZCore[0].Partial Filter Env[3].TVF Env Depth
04 00 2a 01,ZCore[0].Partial Filter Env[3].TVF Env Velocity Curve
04 00 2a 02,ZCore[0].Partial Filter Env[3].TVF Env Velocity Sens
04 00 2a 04,ZCore[0].Partial Filter Env[3].TVF Env T1 Velocity Sens
04 00 2a 06,ZCore[0].Partial Filter Env[3].TVF Env T4 Velocity Sens
04 00 2a 08,ZCore[0].Partial Filter Env[3].TVF Env Time1
04 00 2a 0c,ZCore[0].Partial Filter Env[3].TVF Env Time2
04 00 2a 10,ZCore[0].Partial Filter Env[3].TVF Env Time3
04 00 2a 14,ZCore[0].Partial Filter Env[3].TVF Env Time4
04 00 2a 18,ZCore[0].Partial Filter Env[3].TVF Env Level0
04 00 2a 1c,ZCore[0].Partial Filter Env[3].TVF Env Level1
04 00 2a 20,ZCore[0].Partial Filter Env[3].TVF Env Level2
04 00 2a 24,ZCore[0].Partial Filter Env[3].TVF Env Level3
04 00 2a 28,ZCore[0].Partial Filter Env[3].TVF Env Level4
04 00 2b 00,ZCore[0].Partial Filter Env[4].TVF Env Depth
04 00 2b 01,ZCore[0].Partial Filter Env[4].TVF Env Velocity Curve
04 00 2b 02,ZCore[0].Partial Filter Env[4].TVF Env Velocity Sens
04 00 2b 04,ZCore[0].Partial Filter Env[4].TVF Env T1 Velocity Sens
04 00 2b 06,ZCore[0].Partial Filter Env[4].TVF Env T4 Velocity Sens
04 00 2b 08,ZCore[0].Partial Filter Env[4].TVF Env Time1
04 00 2b 0c,ZCore[0].Partial Filter Env[4].TVF Env Time2
04 00 2b 10,ZCore[0].Partial Filter Env[4].TVF Env Time3
04 00 2b 14,ZCore[0].Partial Filter Env[4].TVF Env Time4
04 00 2b 18,ZCore[0].Partial Filter Env[4].TVF Env Level0
04 00 2b 1c,ZCore[0].Partial Filter Env[4].TVF Env Level1
04 00 2b 20,ZCore[0].Partial Filter Env[4].TVF Env Level2
04 00 2b 24,ZCore[0].Partial Filter Env[4].TVF Env Level3
04 00 2b 28,ZCore[0].Partial Filter Env[4].TVF Env Level4
04 00 2c 00,ZCore[0].Partial Amp Env[1].TVA Env Time1 Velocity Sens
04 00 2c 02,ZCore[0].Partial Amp Env[1].TVA Env Time4 Velocity Sens
04 00 2c 04,ZCore[0].Partial Amp Env[1].TVA Env Time1
04 00 2c 08,ZCore[0].Partial Amp Env[1].TVA Env Time2
04 00 2c 0c,ZCore[0].Partial Amp Env[1].TVA Env Time3
04 00 2c 10,ZCore[0].Partial Amp Env[1].TVA Env Time4
04 00 2c 14,ZCore[0].Partial Amp Env[1].TVA Env Level1
04 00 2c 18,ZCore[0].Partial Amp Env[1].TVA Env Level2
04 00 2c 1c,ZCore[0].Partial Amp Env[1].TVA Env Level3
04 00 2d 00,ZCore[0].Partial Amp Env[2].TVA Env Time1 Velocity Sens
04 00 2d 02,ZCore[0].Partial Amp Env[2].TVA Env Time4 Velocity Sens
04 00 2d 04,ZCore[0].Partial Amp Env[2].TVA Env Time1
04 00 2d 08,ZCore[0].Partial Amp Env[2].TVA Env Time2
04 00 2d 0c,ZCore[0].Partial Amp Env[2].TVA Env Time3
04 00 2d 10,ZCore[0].Partial Amp Env[2].TVA Env Time4
04 00 2d 14,ZCore[0].Partial Amp Env[2].TVA Env Level1
04 00 2d 18,ZCore[0].Partial Amp Env[2].TVA Env Level2
04 00 2d 1c,ZCore[0].Partial Amp Env[2].TVA Env Level3
04 00 2e 00,ZCore[0].Partial Amp Env[3].TVA Env Time1 Velocity Sens
04 00 2e 02,ZCore[0].Partial Amp Env[3].TVA Env Time4 Velocity Sens
04 00 2e 04,ZCore[0].Partial Amp Env[3].TVA Env Time1
04 00 2e 08,ZCore[0].Partial Amp Env[3].TVA Env Time2
04 00 2e 0c,ZCore[0].Partial Amp Env[3].TVA Env Time3
04 00 2e 10,ZCore[0].Partial Amp Env[3].TVA Env Time4
04 00 2e 14,ZCore[0].Partial Amp Env[3].TVA Env Level1
04 00 2e 18,ZCore[0].Partial Amp Env[3].TVA Env Level2
04 00 2e 1c,ZCore[0].Partial Amp Env[3].TVA Env Level3
04 00 2f 00,ZCore[0].Partial Amp Env[4].TVA Env Time1 Velocity Sens
04 00 2f 02,ZCore[0].Partial Amp Env[4].TVA Env Time4 Velocity Sens
04 00 2f 04,ZCore[0].Partial Amp Env[4].TVA Env Time1
04 00 2f 08,ZCore[0].Partial Amp Env[4].TVA Env Time2
04 00 2f 0c,ZCore[0].Partial Amp Env[4].TVA Env Time3
04 00 2f 10,ZCore[0].Partial Amp Env[4].TVA Env Time4
04 00 2f 14,ZCore[0].Partial Amp Env[4].TVA Env Level1
04 00 2f 18,ZCore[0].Partial Amp Env[4].TVA Env Level2
04 00 2f 1c,ZCore[0].Partial Amp Env[4].TVA Env Level3
04 00 30 00,ZCore[0].Partial LFO[1].Waveform
04 00 30 01,ZCore[0].Partial LFO[1].Rate Sync
04 00 30 02,ZCore[0].Partial LFO[1].Rate (note)
04 00 30 03,ZCore[0].Partial LFO[1].Step Size
04 00 30 04,ZCore[0].Partial LFO[1].Rate
04 00 30 08,ZCore[0].Partial LFO[1].Offset
04 00 30 0a,ZCore[0].Partial LFO[1].Rate Detune
04 00 30 0b,ZCore[0].Partial LFO[1].Delay Time
04 00 30 0f,ZCore[0].Partial LFO[1].Delay Time Keyfolow
04 00 30 11,ZCore[0].Partial LFO[1].Fade Mode
04 00 30 12,ZCore[0].Partial LFO[1].Fade Time
04 00 30 16,ZCore[0].Partial LFO[1].Key Trigger
04 00 30 17,ZCore[0].Partial LFO[1].Pitch Depth
04 00 30 19,ZCore[0].Partial LFO[1].TVF Depth
04 00 30 1b,ZCore[0].Partial LFO[1].TVA Depth
04 00 30 1d,ZCore[0].Partial LFO[1].PAN Depth
04 00 30 1e,ZCore[0].Partial LFO[1].Phase Position
04 00 30 1f,ZCore[0].Partial LFO[1].Step
04 00 30 21,ZCore[0].Partial LFO[1].Step
04 00 30 23,ZCore[0].Partial LFO[1].Step
04 00 30 25,ZCore[0].Partial LFO[1].Step
04 00 30 27,ZCore[0].Partial LFO[1].Step
04 00 30 29,ZCore[0].Partial LFO[1].Step
04 00 30 2b,ZCore[0].Partial LFO[1].Step
04 00 30 2d,ZCore[0].Partial LFO[1].Step
04 00 30 2f,ZCore[0].Partial LFO[1].Step
04 00 30 31,ZCore[0].Partial LFO[1].Step
04 00 30 33,ZCore[0].Partial LFO[1].Step
04 00 30 35,ZCore[0].Partial LFO[1].Step
04 00 30 37,ZCore[0].Partial LFO[1].Step
04 00 30 39,ZCore[0].Partial LFO[1].Step
04 00 30 3b,ZCore[0].Partial LFO[1].Step
04 00 30 3d,ZCore[0].Partial LFO[1].Step
04 00 30 3f,ZCore[0].Partial LFO[1].Step Curve
04 00 30 40,ZCore[0].Partial LFO[1].Step Curve
04 00 30 41,ZCore[0].Partial LFO[1].Step Curve
04 00 30 42,ZCore[0].Partial LFO[1].Step Curve
04 00 30 43,ZCore[0].Partial LFO[1].Step Curve
04 00 30 44,ZCore[0].Partial LFO[1].Step Curve
04 00 30 45,ZCore[0].Partial LFO[1].Step Curve
04 00 30 46,ZCore[0].Partial LFO[1].Step Curve
04 00 30 47,ZCore[0].Partial LFO[1].Step Curve
04 00 30 48,ZCore[0].Partial LFO[1].Step Curve
04 00 30 49,ZCore[0].Partial LFO[1].Step Curve
04 00 30 4a,ZCore[0].Partial LFO[1].Step Curve
04 00 30 4b,ZCore[0].Partial LFO[1].Step Curve
04 00 30 4c,ZCore[0].Partial LFO[1].Step Curve
04 00 30 4d,ZCore[0].Partial LFO[1].Step Curve
04 00 30 4e,ZCore[0].Partial LFO[1].Step Curve
04 00 30 4f,ZCore[0].Partial LFO[1].Waveform
04 00 30 50,ZCore[0].Partial LFO[1].Rate Sync
04 00 30 51,ZCore[0].Partial LFO[1].Rate (note)
04 00 30 52,ZCore[0].Partial LFO[1].Step Size
04 00 30 53,ZCore[0].Partial LFO[1].Rate
04 00 30 57,ZCore[0].Partial LFO[1].Offset
04 00 30 59,ZCore[0].Partial LFO[1].Rate Detune
04 00 30 5a,ZCore[0].Partial LFO[1].Delay Time
04 00 30 5e,ZCore[0].Partial LFO[1].Delay Time Keyfolow
04 00 30 60,ZCore[0].Partial LFO[1].Fade Mode
04 00 30 61,ZCore[0].Partial LFO[1].Fade Time
04 00 30 65,ZCore[0].Partial LFO[1].Key Trigger
04 00 30 66,ZCore[0].Partial LFO[1].Pitch Depth
04 00 30 68,ZCore[0].Partial LFO[1].TVF Depth
04 00 30 6a,ZCore[0].Partial LFO[1].TVA Depth
04 00 30 6c,ZCore[0].Partial LFO[1].PAN Depth
04 00 30 6d,ZCore[0].Partial LFO[1].Phase Position
04 00 30 6e,ZCore[0].Partial LFO[1].Step
04 00 30 70,ZCore[0].Partial LFO[1].Step
04 00 30 72,ZCore[0].Partial LFO[1].Step
04 00 30 74,ZCore[0].Partial LFO[1].Step
04 00 30 76,ZCore[0].Partial LFO[1].Step
04 00 30 78,ZCore[0].Partial LFO[1].Step
04 00 30 7a,ZCore[0].Partial LFO[1].Step
04 00 30 7c,ZCore[0].Partial LFO[1].Step
04 00 30 7e,ZCore[0].Partial LFO[1].Step
04 00 31 00,ZCore[0].Partial LFO[1].Step
04 00 31 02,ZCore[0].Partial LFO[1].Step
04 00 31 04,ZCore[0].Partial LFO[1].Step
04 00 31 06,ZCore[0].Partial LFO[1].Step
04 00 31 08,ZCore[0].Partial LFO[1].Step
04 00 31 0a,ZCore[0].Partial LFO[1].Step
04 00 31 0c,ZCore[0].Partial LFO[1].Step
04 00 31 0e,ZCore[0].Partial LFO[1].Step Curve
04 00 31 0f,ZCore[0].Partial LFO[1].Step Curve
04 00 31 10,ZCore[0].Partial LFO[1].Step Curve
04 00 31 11,ZCore[0].Partial LFO[1].Step Curve
04 00 31 12,ZCore[0].Partial LFO[1].Step Curve
04 00 31 13,ZCore[0].Partial LFO[1].Step Curve
04 00 31 14,ZCore[0].Partial LFO[1].Step Curve
04 00 31 15,ZCore[0].Partial LFO[1].Step Curve
04 00 31 16,ZCore[0].Partial LFO[1].Step Curve
04 00 31 17,ZCore[0].Partial LFO[1].Step Curve
04 00 31 18,ZCore[0].Partial LFO[1].Step Curve
04 00 31 19,ZCore[0].Partial LFO[1].Step Curve
04 00 31 1a,ZCore[0].Partial LFO[1].Step Curve
04 00 31 1b,ZCore[0].Partial LFO[1].Step Curve
04 00 31 1c,ZCore[0].Partial LFO[1].Step Curve
04 00 31 1d,ZCore[0].Partial LFO[1].Step Curve
04 00 32 00,ZCore[0].Partial LFO[2].Waveform
04 00 32 01,ZCore[0].Partial LFO[2].Rate Sync
04 00 32 02,ZCore[0].Partial LFO[2].Rate (note)
04 00 32 03,ZCore[0].Partial LFO[2].Step Size
04 00 32 04,ZCore[0].Partial LFO[2].Rate
04 00 32 08,ZCore[0].Partial LFO[2].Offset
04 00 32 0a,ZCore[0].Partial LFO[2].Rate Detune
04 00 32 0b,ZCore[0].Partial LFO[2].Delay Time
04 00 32 0f,ZCore[0].Partial LFO[2].Delay Time Keyfolow
04 00 32 11,ZCore[0].Partial LFO[2].Fade Mode
04 00 32 12,ZCore[0].Partial LFO[2].Fade Time
04 00 32 16,ZCore[0].Partial LFO[2].Key Trigger
04 00 32 17,ZCore[0].Partial LFO[2].Pitch Depth
04 00 32 19,ZCore[0].Partial LFO[2].TVF Depth
04 00 32 1b,ZCore[0].Partial LFO[2].TVA Depth
04 00 32 1d,ZCore[0].Partial LFO[2].PAN Depth
04 00 32 1e,ZCore[0].Partial LFO[2].Phase Position
04 00 32 1f,ZCore[0].Partial LFO[2].Step
04 00 32 21,ZCore[0].Partial LFO[2].Step
04 00 32 23,ZCore[0].Partial LFO[2].Step
04 00 32 25,ZCore[0].Partial LFO[2].Step
04 00 32 27,ZCore[0].Partial LFO[2].Step
04 00 32 29,ZCore[0].Partial LFO[2].Step
04 00 32 2b,ZCore[0].Partial LFO[2].Step
